target_program,target_address,target_offset,name,mangled_name,namespace,kind,provenance,confidence,evidence_type,source_program,source_file,source_module,source_segment,source_offset,body_sha256,notes
PokemonMoon_US_v1_0,0x0048CBFC,0x0038CBFC,App::Resort::ResortDataManager::GetUncompWorkHeap() const,_ZNK3App6Resort17ResortDataManager17GetUncompWorkHeapEv,App::Resort::ResortDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038CBFC,b6974e59ef2383f9150736201b38dbf63f23ce208e96ff70827eead0e41aba5e,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048CC24,0x0038CC24,App::Resort::ResortDataManager::GetData(int) const,_ZNK3App6Resort17ResortDataManager7GetDataEi,App::Resort::ResortDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038CC24,c9b2195adf84d52608daf1af5bb78b8196b70916a890d7c1b47c0176aaadb841,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D308,0x0038D308,App::PokeList::PokeListSimpleFrame::IsPause() const,_ZNK3App8PokeList19PokeListSimpleFrame7IsPauseEv,App::PokeList::PokeListSimpleFrame,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D308,92be725660061b3cd6abc604ef5e39895706a76e5d0e0467f9ed40a3237b110d,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D344,0x0038D344,App::FieldMenu::PlayData::GetRideParam() const,_ZNK3App9FieldMenu8PlayData12GetRideParamEv,App::FieldMenu::PlayData,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D344,65ff1c5fe60e905b1c3a351fe4020f4bab3d37d6b92f355848330840baf2f9a3,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D34C,0x0038D34C,app::ui::UIResponder::IsInputEnabled() const,_ZNK3app2ui11UIResponder14IsInputEnabledEv,app::ui::UIResponder,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D34C,9e5924f82384f630ed5d5dc7a4ef578b7f2ef0af0b299e40ff4eeb89b0666bb2,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D354,0x0038D354,app::ui::UIResponder::IsButtonAnimation() const,_ZNK3app2ui11UIResponder17IsButtonAnimationEv,app::ui::UIResponder,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D354,49e6756b6dcd06233be9c305723f3bb9f621df84147f3a07c6b3de6bce8a6d22,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D37C,0x0038D37C,app::ui::UIView::GetG2DUtil() const,_ZNK3app2ui6UIView10GetG2DUtilEv,app::ui::UIView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D37C,80b4228909ea142ac4d965cb0f9df2968e4ea9c4db6c18e9a0069ceca162c906,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D384,0x0038D384,app::ui::UIView::GetLayoutWork(unsigned int) const,_ZNK3app2ui6UIView13GetLayoutWorkEj,app::ui::UIView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D384,0366bdd115b3eb60671eb841008d3799b9b9ec2c79c804304170dc7baac03385,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D398,0x0038D398,app::ui::UIView::GetLayoutSystem() const,_ZNK3app2ui6UIView15GetLayoutSystemEv,app::ui::UIView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D398,f174fa99c64f65400dc24a694d7f3795a515dc52187a160c0adb49028717f5f9,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D3AC,0x0038D3AC,"app::ui::UIView::GetToucHoldPane(gfl2::ui::TouchPanel const*, unsigned int, nw::lyt::Pane*) const",_ZNK3app2ui6UIView15GetToucHoldPaneEPKN4gfl22ui10TouchPanelEjPN2nw3lyt4PaneE,app::ui::UIView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D3AC,b00be37f5653f76a69a3c430039648c128419b0c7dc366162b83aa5bede5365a,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D444,0x0038D444,app::ui::UIView::IsDrawing() const,_ZNK3app2ui6UIView9IsDrawingEv,app::ui::UIView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D444,3af8372d0a5ee7d57ec3640088384b1db141277b7bc390038f89760011edd312,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D460,0x0038D460,app::ui::UIView::IsVisible() const,_ZNK3app2ui6UIView9IsVisibleEv,app::ui::UIView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D460,d0f96e283adfdc4684b1e77b92684db841080313ff17644e6b28ee49f795be83,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D468,0x0038D468,app::sort::StringWaza::IsSecretWaza(WazaNo) const,_ZNK3app4sort10StringWaza12IsSecretWazaE6WazaNo,app::sort::StringWaza,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D468,3064ca9e42868006bf577157c574fb68187e6f0d676decba5d609813b0d394d4,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D4E4,0x0038D4E4,app::sort::StringBinary::GetSortOrder(unsigned int) const,_ZNK3app4sort12StringBinary12GetSortOrderEj,app::sort::StringBinary,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D4E4,4d1237df4918a46753569cc8230343dc3254b0d8bfb151bafb623f796d5f1f3a,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D568,0x0038D568,"app::sort::StringBinary::GetInitialIndexToSortHeaderIndex(unsigned int, unsigned int&, unsigned int&) const",_ZNK3app4sort12StringBinary32GetInitialIndexToSortHeaderIndexEjRjS2_,app::sort::StringBinary,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D568,b05a1f9c5a730f0d9c53b3e5331e2bdd2da75993f06155369dd80af76f396bd1,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D5B4,0x0038D5B4,app::sort::StringTokusei::IsSecretTokusei(TokuseiNo) const,_ZNK3app4sort13StringTokusei15IsSecretTokuseiE9TokuseiNo,app::sort::StringTokusei,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D5B4,82e18a3886b7ac29f24b58a8a8fe322acb1d5f04bb5e5d6d270f4894c3a5003f,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D604,0x0038D604,app::tool::LytTexData::GetTexInfo() const,_ZNK3app4tool10LytTexData10GetTexInfoEv,app::tool::LytTexData,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D604,730161b65050ad4134b938e30095e89ed181a5df29da40c544b8b17d1b656ba1,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D60C,0x0038D60C,app::tool::LytTexData::GetTexSize() const,_ZNK3app4tool10LytTexData10GetTexSizeEv,app::tool::LytTexData,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D60C,7f682f8b4ab97e294275b4d0e590ddc8129025fd9b6b8bc83e0d3638a19ff8ad,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0048D758,0x0038D758,app::tool::PaneListView::GetUpdateResult() const,_ZNK3app4tool12PaneListView15GetUpdateResultEv,app::tool::PaneListView,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0038D758,e95c8f886e96333d0e67d4b20dbf39dfae3713e58ce1c5b68a581b67aa03ddb6,Static address resolved from CRS segment base
