class_name,evidence_kind,symbol_name,mangled_name,module,target_address,segment,segment_offset,provenance
__cxxabiv1::__vmi_class_type_info,VTABLE,vtable for __cxxabiv1::__vmi_class_type_info,_ZTVN10__cxxabiv121__vmi_class_type_infoE,|static|,0x0060EE6C,.rodata,0x00078E6C,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_collate_data<char>,TYPEINFO,typeinfo for __rw::__rw_collate_data<char>,_ZTIN4__rw17__rw_collate_dataIcEE,|static|,0x005F6D0C,.rodata,0x00060D0C,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_collate_data<char>,TYPEINFO,typeinfo name for __rw::__rw_collate_data<char>,_ZTSN4__rw17__rw_collate_dataIcEE,|static|,0x00604066,.rodata,0x0006E066,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_collate_impl<char>,TYPEINFO,typeinfo for __rw::__rw_collate_impl<char>,_ZTIN4__rw17__rw_collate_implIcEE,|static|,0x005F6D14,.rodata,0x00060D14,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_collate_impl<char>,TYPEINFO,typeinfo name for __rw::__rw_collate_impl<char>,_ZTSN4__rw17__rw_collate_implIcEE,|static|,0x00604084,.rodata,0x0006E084,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_ctype_helper<char>,TYPEINFO,typeinfo for __rw::__rw_ctype_helper<char>,_ZTIN4__rw17__rw_ctype_helperIcEE,|static|,0x005F6D20,.rodata,0x00060D20,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_ctype_helper<char>,TYPEINFO,typeinfo name for __rw::__rw_ctype_helper<char>,_ZTSN4__rw17__rw_ctype_helperIcEE,|static|,0x006040A2,.rodata,0x0006E0A2,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_facet_base,TYPEINFO,typeinfo for __rw::__rw_facet_base,_ZTIN4__rw15__rw_facet_baseE,|static|,0x005F6CF8,.rodata,0x00060CF8,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_facet_base,TYPEINFO,typeinfo name for __rw::__rw_facet_base,_ZTSN4__rw15__rw_facet_baseE,|static|,0x00604031,.rodata,0x0006E031,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_numpunct_impl<char>,TYPEINFO,typeinfo for __rw::__rw_numpunct_impl<char>,_ZTIN4__rw18__rw_numpunct_implIcEE,|static|,0x005F6D30,.rodata,0x00060D30,RETAIL_ORIGINAL_SYMBOL
