address,name,qualified_name,namespace,symbol_type,source,is_primary,is_external,classification
000000d1,"DAT_000000d1","DAT_000000d1","Global",Label,DEFAULT,true,false,Label
000000d9,"DAT_000000d9","DAT_000000d9","Global",Label,DEFAULT,true,false,Label
000000e1,"DAT_000000e1","DAT_000000e1","Global",Label,DEFAULT,true,false,Label
000000e5,"DAT_000000e5","DAT_000000e5","Global",Label,DEFAULT,true,false,Label
000000e9,"DAT_000000e9","DAT_000000e9","Global",Label,DEFAULT,true,false,Label
000000ed,"DAT_000000ed","DAT_000000ed","Global",Label,DEFAULT,true,false,Label
000000f1,"DAT_000000f1","DAT_000000f1","Global",Label,DEFAULT,true,false,Label
000000f5,"DAT_000000f5","DAT_000000f5","Global",Label,DEFAULT,true,false,Label
000000f9,"DAT_000000f9","DAT_000000f9","Global",Label,DEFAULT,true,false,Label
0000013b,"DAT_0000013b","DAT_0000013b","Global",Label,DEFAULT,true,false,Label
0000014a,"DAT_0000014a","DAT_0000014a","Global",Label,DEFAULT,true,false,Label
00000218,"FUN_00000218","FUN_00000218","Global",Function,DEFAULT,true,false,FUNCTION
00000222,"DAT_00000222","DAT_00000222","Global",Label,DEFAULT,true,false,Label
00000229,"DAT_00000229","DAT_00000229","Global",Label,DEFAULT,true,false,Label
0000022d,"DAT_0000022d","DAT_0000022d","Global",Label,DEFAULT,true,false,Label
00000231,"DAT_00000231","DAT_00000231","Global",Label,DEFAULT,true,false,Label
00000235,"DAT_00000235","DAT_00000235","Global",Label,DEFAULT,true,false,Label
00000259,"DAT_00000259","DAT_00000259","Global",Label,DEFAULT,true,false,Label
0000025d,"DAT_0000025d","DAT_0000025d","Global",Label,DEFAULT,true,false,Label
00000269,"DAT_00000269","DAT_00000269","Global",Label,DEFAULT,true,false,Label
0000026d,"DAT_0000026d","DAT_0000026d","Global",Label,DEFAULT,true,false,Label
00000279,"DAT_00000279","DAT_00000279","Global",Label,DEFAULT,true,false,Label
0000027d,"DAT_0000027d","DAT_0000027d","Global",Label,DEFAULT,true,false,Label
00000281,"DAT_00000281","DAT_00000281","Global",Label,DEFAULT,true,false,Label
00000285,"DAT_00000285","DAT_00000285","Global",Label,DEFAULT,true,false,Label
00000289,"DAT_00000289","DAT_00000289","Global",Label,DEFAULT,true,false,Label
00000291,"DAT_00000291","DAT_00000291","Global",Label,DEFAULT,true,false,Label
00000295,"DAT_00000295","DAT_00000295","Global",Label,DEFAULT,true,false,Label
00000323,"DAT_00000323","DAT_00000323","Global",Label,DEFAULT,true,false,Label
00000362,"DAT_00000362","DAT_00000362","Global",Label,DEFAULT,true,false,Label
000003f6,"DAT_000003f6","DAT_000003f6","Global",Label,DEFAULT,true,false,Label
00000400,"DAT_00000400","DAT_00000400","Global",Label,DEFAULT,true,false,Label
00000401,"DAT_00000401","DAT_00000401","Global",Label,DEFAULT,true,false,Label
00000402,"DAT_00000402","DAT_00000402","Global",Label,DEFAULT,true,false,Label
00000403,"DAT_00000402+1","DAT_00000402+1","Global",Label,DEFAULT,true,false,Label
00000404,"DAT_00000402+2","DAT_00000402+2","Global",Label,DEFAULT,true,false,Label
00000405,"DAT_00000402+3","DAT_00000402+3","Global",Label,DEFAULT,true,false,Label
00000406,"DAT_00000406","DAT_00000406","Global",Label,DEFAULT,true,false,Label
00000407,"DAT_00000407","DAT_00000407","Global",Label,DEFAULT,true,false,Label
00000408,"DAT_00000408","DAT_00000408","Global",Label,DEFAULT,true,false,Label
00000409,"DAT_00000409","DAT_00000409","Global",Label,DEFAULT,true,false,Label
0000040a,"DAT_0000040a","DAT_0000040a","Global",Label,DEFAULT,true,false,Label
0000040b,"DAT_0000040b","DAT_0000040b","Global",Label,DEFAULT,true,false,Label
