entry,end,size,name,qualified_name,namespace,symbol_source,signature_source,signature,is_thunk,thunk_target,body_sha256,mnemonic_sha256,instruction_count,memory_block
001002d8,0010031f,72,"__2swprintf","__2swprintf","Global",ANALYSIS,ANALYSIS,"uint __stdcall __2swprintf(int param_1, uint param_2, undefined4 param_3, uint param_4)",false,"",87dc6d75411d684829d8e0196b08a43d40038e0e9ebfc531a5ad67a1b945af14,de1f9ff3ada4998ac37171f294538507ec297597b2f82380b41e36129114c825,34,".text"
00100324,00100375,82,"FUN_00100324","FUN_00100324","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100324(uint * param_1, undefined1 * param_2, uint param_3)",false,"",ce7c26a88c3e966fc718123c23c195d926840cbced3db8b9f771acb3048b68e2,607f9b0fd17a6a0babff987a31a7753f8221ce0b6ebc337d4bd39c120e955535,39,".text"
00100380,001003d9,90,"_printf_int_dec","_printf_int_dec","Global",ANALYSIS,ANALYSIS,"undefined __stdcall _printf_int_dec(uint * param_1, int param_2, uint * param_3)",false,"",5738e09545f922ba9a0d1c400b6525a4ba26287c03ec2d45f429fad349dff204,b69bc64fcc5f65952bf40d65ac9bd195c13ef71227bef10f7a459bb5763b2dcb,41,".text"
0010041c,001004a7,140,"FUN_0010041c","FUN_0010041c","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_0010041c(uint * param_1, int param_2, int param_3)",false,"",7b4b76234127958fb2ef5568403eb300e17de4a272bd76a63b4f96c886eb5b9b,f4347e2b756ff77d38318d7ae7a7c65b46da0d54665340d2e566cd4efd8ab889,66,".text"
001004ac,00100501,86,"FUN_001004ac","FUN_001004ac","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_001004ac(uint * param_1, undefined2 * param_2, uint param_3)",false,"",acd4090024b938632335a73cadaaf24c44552ba9123f7e4f3efb907e229438cf,aa88d0c838277dbe7a28b4927c89f02d306b45c8db3fb7efec501ac498b14923,41,".text"
00100584,001005c7,68,"FUN_00100584","FUN_00100584","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100584(uint * param_1, undefined4 param_2, uint param_3, uint param_4)",false,"",3ed26273154d4b606344031cf0ce4e028d738882a6a03ed91eb90e701f0b243b,46b0893cfee8948a7bfaf0c7fd6316c45d019eaaba3575a275e843c0163300d9,33,".text"
001005c8,001005df,24,"FUN_001005c8","FUN_001005c8","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_001005c8(uint * param_1, undefined4 param_2, uint * param_3)",false,"",639a7260f50aea88464923567db942fea5be46f7b66f33a0f6f4030e759a3a2b,772b662d13609748a52fbece8ea8a04a1b6a9129768bfa34ce2390dd1bea9e33,10,".text"
001005fc,00100653,88,"_printf_longlong_hex","_printf_longlong_hex","Global",ANALYSIS,ANALYSIS,"undefined __stdcall _printf_longlong_hex(uint * param_1, int param_2, uint param_3, uint param_4)",false,"",fd5e69aa00f0cc210929868f00681b18a45bbf439501429c5a6ca9e65b24b1ac,357a575096602177ec93ff8c86c521d78e17b5316fcab724270f0b9127ae2e5f,43,".text"
00100694,001006c9,54,"FUN_00100694","FUN_00100694","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100694(undefined4 param_1, int param_2, undefined4 param_3, undefined4 param_4)",false,"",2a961d9f5506d8e58dd7bd394559829488041a267f0cc118615b64bea4841ccb,fe3e1ffb97926373dbb942292d67448617865f97014052515ea71e6e5f0f9052,26,".text"
001006d4,001006ed,26,"FUN_001006d4","FUN_001006d4","Global",DEFAULT,ANALYSIS,"undefined8 __stdcall FUN_001006d4(byte * param_1)",false,"",cb53c65dc610002d6b6d6b09f2c98a9eefdadb792b6c462e17948f2870ee955b,e8b4e1af058d36d995d9892c2765123c7d3277782885d618a75f82d0acbc12c0,11,".text"
001006ee,00100763,118,"FUN_001006ee","FUN_001006ee","Global",DEFAULT,ANALYSIS,"uint __stdcall FUN_001006ee(byte * param_1, int * param_2, uint param_3)",false,"",13b212f009d9eecff96640a68b6eec80df861db2a6d9016d27865f5fc06071f8,d5866b423391798e2edc75b661fbf50caa024380422082e3dd352aa1d3ede8ca,56,".text"
00100764,0010076b,8,"FUN_00100764","FUN_00100764","Global",DEFAULT,ANALYSIS,"undefined8 __stdcall FUN_00100764(byte * param_1, int * param_2, uint param_3)",false,"",80afe9263fc555aa6ecc35a0c788330ed4eb24ee543183482f6265a22dd182db,9b7da78caf34d54de1ee115063ade89ad04ba828746485ea6d954660940692f7,3,".text"
0010076c,001007df,116,"FUN_0010076c","FUN_0010076c","Global",DEFAULT,ANALYSIS,"uint __stdcall FUN_0010076c(ushort * param_1, int * param_2, uint param_3)",false,"",5cc9eef0d24b33fc9bff9f2220b577d5019b3d41d6c46271226a43a5c80afb99,b2551e0c2730d6ddcab87e55eeee8581c4a2a16770af0ef86ea515616971d6d2,55,".text"
001007e0,00100821,66,"FUN_001007e0","FUN_001007e0","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_001007e0(int param_1)",false,"",eb6d12b22296fd7d40139a9eaa146998e2e206085f3b59d6ffc8825631c9a0ad,711eb82d2310d3bdc5768c1c7bfb3b553812841942f2c439a142c0da46d0d0fd,32,".text"
00100822,00100871,80,"FUN_00100822","FUN_00100822","Global",DEFAULT,ANALYSIS,"undefined8 __stdcall FUN_00100822(int param_1, byte * param_2, uint param_3, undefined4 param_4)",false,"",9c2aa51f3d821a21192d7f4fcdc537f456a0ef043de539014c729a6ba5bce75c,4fcf26e15fd5ee0273c75a8366513eebc0f9d1e9bb4a7df7c334d57cb55a8402,39,".text"
00100872,001008dd,108,"FUN_00100872","FUN_00100872","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100872(int param_1, ushort * param_2, uint param_3)",false,"",8933bf85def884c755d1ded1d7278b744101e819e62fcc58ead2e6147bff46b3,4041a81d0eb743a1fed1dbf77ae87e46ba7bf45adebfa45ddb5feeb7c47b722c,52,".text"
001008de,001008ef,18,"FUN_001008de","FUN_001008de","Global",DEFAULT,ANALYSIS,"undefined4 __stdcall FUN_001008de(int * param_1)",false,"",b2ebc91ea4310d0917ee79691a074c23af7777a1695b223fb1fc66b525ebc4f3,0c055642f36e7da2455076d5dbed986d93a3af200d08dd550844f2363d4811cb,9,".text"
001008f0,0010090d,30,"FUN_001008f0","FUN_001008f0","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_001008f0(byte * param_1, int param_2, undefined4 param_3)",false,"",5199b470738843ea02ee203c3ce5074c136dd9747a695e6bb450df7c421c3113,3fa20b354430cda7a801db25504396e74a80a6f7dceb4c6554bb8dc5556eca97,14,".text"
00100910,0010093d,46,"FUN_00100910","FUN_00100910","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100910(uint param_1)",false,"",55ac728c590419b042fde95d45d9847b54333583bd54579e41298d65ac5d4416,0ef62e12cb03b92912eae803bd136df2b6323aaba29c0ea043cfed4d0be25771,23,".text"
00100950,00100b4d,510,"FUN_00100950","FUN_00100950","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100950(undefined4 param_1, undefined4 param_2, uint param_3, undefined * param_4)",false,"",a97f30dff0d4634eb94aa26367774e14dc8cfbb0ed06016d86c1c967d1838f64,d790d7ee9fe0437d1a56825e125b08915bdffcc9caf80a8bb2fe3ecdefcdd32c,254,".text"
00100b4e,00100bd5,136,"FUN_00100b4e","FUN_00100b4e","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100b4e(uint param_1, uint param_2, uint param_3, undefined * param_4)",false,"",241d0dfbf6768f558030e220fd264bb58b07ae1c97b8509ba65455fda95e1d3f,c7ed2adbe40fced95d004b8dd40dad24e8aad9ff8527dd379718336a4d578764,67,".text"
00100bd6,00100c23,78,"FUN_00100bd6","FUN_00100bd6","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100bd6(undefined4 param_1, int param_2, uint param_3, int param_4, undefined * param_5)",false,"",7f5d7cf61619e06c9358c2a72fbabf0de582e092c5fa3098b37ad1c440c9d354,6c5af7f39c27013adf9047312f5b5adee3d54f60f2c7a7e96b00e6c9fe81603f,39,".text"
00100c24,00100c47,36,"FUN_00100c24","FUN_00100c24","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100c24(int param_1, char * param_2, int param_3)",false,"",8e2844b8da8a37fe67dd44009e0184ff1e6195dc3b48e1bf9463f74a0a039617,828f2e69c0067d2f218a39fe93b00793e2e2073a404654d6ae72810a69939c65,18,".text"
00100c48,00100c6f,40,"FUN_00100c48","FUN_00100c48","Global",DEFAULT,ANALYSIS,"char * __stdcall FUN_00100c48(char * param_1, char * param_2)",false,"",0c7e865f1e136c7e565bc52a577e47f6dc610606c25b33ccaf231c41766fffb0,483700aa4c699a8fcb0741776c17da2c49c05de2fe0ccaaacd993334b1202252,20,".text"
00100c78,00100ceb,116,"memcmp","memcmp","Global",ANALYSIS,IMPORTED,"int __stdcall memcmp(void * __s1, void * __s2, size_t __n)",false,"",697276718f56006a68df308a836fc8b135a19ab5eac95c000fa941fdbf889019,c5e5812009fc21f343e2f878ea0d76be08cd1067cd9918bf8e6fb9defa09b9bf,58,".text"
00100cec,00100d03,24,"FUN_00100cec","FUN_00100cec","Global",DEFAULT,ANALYSIS,"char * __stdcall FUN_00100cec(char * param_1, char param_2)",false,"",19ca3a9248c30ddbdeb5456979bdee86d30ff3b95e372efd26b3cbc7073682f7,daad861ee6a3d8c1f36afc48034884ed54db27aec936322d0d4f256eb9577758,12,".text"
00100d0c,00100d1d,18,"FUN_00100d0c","FUN_00100d0c","Global",DEFAULT,ANALYSIS,"short * __stdcall FUN_00100d0c(short * param_1, short * param_2)",false,"",bdf215b5cb438a1f0c07f469439f5d201fc4b90ae88de7f9877a08e657fe1244,7da1fd7862f436c2cc50824eec03c95b9afaa81190ad42fdad5aea8ff428798f,9,".text"
